time,action,key_action,side,hero,position,position_px
-00:43,Phoenix activated Smoke of Deceit to stealth,smoke,Dire,Phoenix,"{'left_percent': 45.0, 'top_percent': 30.0}","(460, 307)"
-00:40,Clockwerk activated Smoke of Deceit to stealth,smoke,Radiant,Clockwerk,"{'left_percent': 56.0, 'top_percent': 69.0}","(573, 706)"
-00:35,Storm Spirit placed a Observer Ward,placed,Dire,Storm,"{'left_percent': 51.0, 'top_percent': 47.0}","(522, 481)"
-00:34,Void Spirit placed a Observer Ward,placed,Radiant,Void,"{'left_percent': 58.0, 'top_percent': 52.0}","(593, 532)"
-00:33,Phoenix placed a Observer Ward,placed,Dire,Phoenix,"{'left_percent': 29.0, 'top_percent': 44.0}","(296, 450)"
-00:23,Clockwerk placed a Observer Ward,placed,Radiant,Clockwerk,"{'left_percent': 61.0, 'top_percent': 70.0}","(624, 716)"
04:11,Bane placed a Observer Ward,placed,Dire,Bane,"{'left_percent': 61.0, 'top_percent': 81.0}","(624, 829)"
05:07,Alchemist placed a Observer Ward,placed,Radiant,Alchemist,"{'left_percent': 11.0, 'top_percent': 13.0}","(112, 133)"
05:08,Phoenix placed a Observer Ward,placed,Dire,Phoenix,"{'left_percent': 20.0, 'top_percent': 35.0}","(204, 358)"
05:25,Clockwerk placed a Observer Ward,placed,Radiant,Clockwerk,"{'left_percent': 88.0, 'top_percent': 76.0}","(901, 778)"
06:09,Alchemist placed a Observer Ward,placed,Radiant,Alchemist,"{'left_percent': 36.0, 'top_percent': 47.0}","(368, 481)"
06:34,Phoenix destroyed a Observer Ward,destroyed,Dire,Phoenix,"{'left_percent': 11.0, 'top_percent': 13.0}","(112, 133)"
07:20,Clockwerk destroyed a Observer Ward,destroyed,Radiant,Clockwerk,"{'left_percent': 20.0, 'top_percent': 35.0}","(204, 358)"
08:08,Storm Spirit placed a Observer Ward,placed,Dire,Storm,"{'left_percent': 51.0, 'top_percent': 51.0}","(522, 522)"
08:17,Bane activated Smoke of Deceit to stealth,smoke,Dire,Bane,"{'left_percent': 60.0, 'top_percent': 58.0}","(614, 593)"
09:19,Bane destroyed a Observer Ward,destroyed,Dire,Bane,"{'left_percent': 88.0, 'top_percent': 76.0}","(901, 778)"
