time,action,key_action,side,hero,position,position_px
09:34,Clockwerk placed a Observer Ward,placed,Radiant,Clockwerk,"{'left_percent': 50.0, 'top_percent': 64.0}","(512, 655)"
10:26,Phoenix activated Smoke of Deceit,smoke,Dire,Phoenix,"{'left_percent': 52.0, 'top_percent': 63.0}","(532, 645)"
10:26,Phoenix destroyed a Observer Ward,destroyed,Dire,Phoenix,"{'left_percent': 50.0, 'top_percent': 64.0}","(512, 655)"
11:12,Phoenix placed a Observer Ward,placed,Dire,Phoenix,"{'left_percent': 61.0, 'top_percent': 93.0}","(624, 952)"
12:06,Alchemist activated Smoke of Deceit to stealth,smoke,Radiant,Alchemist,"{'left_percent': 16.0, 'top_percent': 16.0}","(163, 163)"
13:18,Bane placed a Observer Ward,placed,Dire,Bane,"{'left_percent': 13.0, 'top_percent': 18.0}","(133, 184)"
14:04,Phoenix placed a Observer Ward,placed,Dire,Phoenix,"{'left_percent': 16.0, 'top_percent': 27.0}","(163, 276)"
14:42,Alchemist placed a Observer Ward,placed,Radiant,Alchemist,"{'left_percent': 39.0, 'top_percent': 32.0}","(399, 327)"
15:01,Clockwerk placed a Observer Ward,placed,Radiant,Clockwerk,"{'left_percent': 69.0, 'top_percent': 75.0}","(706, 768)"
15:43,Alchemist placed a Observer Ward,placed,Radiant,Alchemist,"{'left_percent': 10.0, 'top_percent': 18.0}","(102, 184)"
15:46,Alchemist destroyed a Observer Ward,destroyed,Radiant,Alchemist,"{'left_percent': 13.0, 'top_percent': 18.0}","(133, 184)"
16:06,Clockwerk activated Smoke of Deceit to stealth,smoke,Radiant,Clockwerk,"{'left_percent': 30.0, 'top_percent': 46.0}","(307, 471)"
16:56,Storm Spirit destroyed a Observer Ward,destroyed,Dire,Storm,"{'left_percent': 39.0, 'top_percent': 32.0}","(399, 327)"
17:25,Bane placed a Observer Ward,placed,Dire,Bane,"{'left_percent': 46.0, 'top_percent': 46.0}","(471, 471)"
17:38,Bane activated Smoke of Deceit to stealth,smoke,Dire,Bane,"{'left_percent': 30.0, 'top_percent': 24.0}","(307, 245)"
18:15,Bane placed a Observer Ward,placed,Dire,Bane,"{'left_percent': 74.0, 'top_percent': 74.0}","(757, 757)"
19:31,Alchemist placed a Observer Ward,placed,Radiant,Alchemist,"{'left_percent': 76.0, 'top_percent': 94.0}","(778, 962)"
19:33,Clockwerk destroyed a Observer Ward,destroyed,Radiant,Clockwerk,"{'left_percent': 16.0, 'top_percent': 27.0}","(163, 276)"
19:47,Clockwerk placed a Observer Ward,placed,Radiant,Clockwerk,"{'left_percent': 33.0, 'top_percent': 37.0}","(337, 378)"
19:59,Bane placed a Observer Ward,placed,Dire,Bane,"{'left_percent': 20.0, 'top_percent': 11.0}","(204, 112)"
20:51,Bane destroyed a Observer Ward,destroyed,Dire,Bane,"{'left_percent': 69.0, 'top_percent': 75.0}","(706, 768)"
22:07,Clockwerk placed a Observer Ward,placed,Radiant,Clockwerk,"{'left_percent': 23.0, 'top_percent': 55.0}","(235, 563)"
22:56,Bane destroyed a Observer Ward,destroyed,Dire,Bane,"{'left_percent': 76.0, 'top_percent': 94.0}","(778, 962)"
23:43,Bane activated Smoke of Deceit to stealth,smoke,Dire,Bane,"{'left_percent': 78.0, 'top_percent': 42.0}","(798, 430)"
23:49,Bane activated Smoke of Deceit to stealth,smoke,Dire,Bane,"{'left_percent': 73.0, 'top_percent': 55.0}","(747, 563)"
24:09,Bane activated Smoke of Deceit to stealth,smoke,Dire,Bane,"{'left_percent': 31.0, 'top_percent': 57.0}","(317, 583)"
25:28,Void Spirit activated Smoke of Deceit to stealth,smoke,Radiant,Void,"{'left_percent': 25.0, 'top_percent': 78.0}","(256, 798)"
25:31,Bane placed a Observer Ward,placed,Dire,Bane,"{'left_percent': 42.0, 'top_percent': 77.0}","(430, 788)"
25:32,Void Spirit activated Smoke of Deceit to stealth,smoke,Radiant,Void,"{'left_percent': 27.0, 'top_percent': 85.0}","(276, 870)"
25:56,Alchemist destroyed a Observer Ward,destroyed,Radiant,Alchemist,"{'left_percent': 42.0, 'top_percent': 77.0}","(430, 788)"
26:18,Alchemist placed a Observer Ward,placed,Radiant,Alchemist,"{'left_percent': 73.0, 'top_percent': 94.0}","(747, 962)"
26:44,Phoenix placed a Observer Ward,placed,Dire,Phoenix,"{'left_percent': 56.0, 'top_percent': 51.0}","(573, 522)"
27:05,Bane placed a Observer Ward,placed,Dire,Bane,"{'left_percent': 62.0, 'top_percent': 102.0}","(634, 1044)"
27:17,Clockwerk destroyed a Observer Ward,destroyed,Radiant,Clockwerk,"{'left_percent': 62.0, 'top_percent': 102.0}","(634, 1044)"
27:32,Clockwerk activated Smoke of Deceit to stealth,smoke,Radiant,Clockwerk,"{'left_percent': 46.0, 'top_percent': 89.0}","(471, 911)"
27:45,Clockwerk activated Smoke of Deceit to stealth,smoke,Radiant,Clockwerk,"{'left_percent': 34.0, 'top_percent': 59.0}","(348, 604)"
28:06,Clockwerk placed a Observer Ward,placed,Radiant,Clockwerk,"{'left_percent': 37.0, 'top_percent': 21.0}","(378, 215)"
28:42,Clockwerk placed a Observer Ward,placed,Radiant,Clockwerk,"{'left_percent': 24.0, 'top_percent': -2.0}","(245, -20)"
28:59,Bane placed a Observer Ward,placed,Dire,Bane,"{'left_percent': 45.0, 'top_percent': 27.0}","(460, 276)"
29:13,Bane destroyed a Observer Ward,destroyed,Dire,Bane,"{'left_percent': 37.0, 'top_percent': 21.0}","(378, 215)"
30:36,Clockwerk placed a Observer Ward,placed,Radiant,Clockwerk,"{'left_percent': 69.0, 'top_percent': 75.0}","(706, 768)"
30:43,Bane activated Smoke of Deceit to stealth,smoke,Dire,Bane,"{'left_percent': 62.0, 'top_percent': 44.0}","(634, 450)"
31:06,Phoenix placed a Observer Ward,placed,Dire,Phoenix,"{'left_percent': 42.0, 'top_percent': 77.0}","(430, 788)"
31:18,Enigma activated Dust of Appearance to reveal,smoke,Radiant,Enigma,"{'left_percent': 58.0, 'top_percent': 72.0}","(593, 737)"
31:19,Void Spirit activated Dust of Appearance to reveal,smoke,Radiant,Void,"{'left_percent': 59.0, 'top_percent': 73.0}","(604, 747)"
31:23,Enigma activated Dust of Appearance to reveal,smoke,Radiant,Enigma,"{'left_percent': 58.0, 'top_percent': 72.0}","(593, 737)"
31:30,Void Spirit activated Dust of Appearance to reveal,smoke,Radiant,Void,"{'left_percent': 68.0, 'top_percent': 76.0}","(696, 778)"
34:23,Clockwerk placed a Observer Ward,placed,Radiant,Clockwerk,"{'left_percent': 23.0, 'top_percent': 56.0}","(235, 573)"
35:24,Bane placed a Observer Ward,placed,Dire,Bane,"{'left_percent': 50.0, 'top_percent': 57.0}","(512, 583)"
35:31,Alchemist placed a Observer Ward,placed,Radiant,Alchemist,"{'left_percent': 51.0, 'top_percent': 64.0}","(522, 655)"
37:53,Bane placed a Observer Ward,placed,Dire,Bane,"{'left_percent': 79.0, 'top_percent': 44.0}","(808, 450)"
38:28,Bane placed a Observer Ward,placed,Dire,Bane,"{'left_percent': 71.0, 'top_percent': 35.0}","(727, 358)"
39:22,Enigma destroyed a Observer Ward,destroyed,Radiant,Enigma,"{'left_percent': 50.0, 'top_percent': 57.0}","(512, 583)"
39:49,Enigma destroyed a Observer Ward,destroyed,Radiant,Enigma,"{'left_percent': 79.0, 'top_percent': 44.0}","(808, 450)"
39:53,Clockwerk destroyed a Observer Ward,destroyed,Radiant,Clockwerk,"{'left_percent': 71.0, 'top_percent': 35.0}","(727, 358)"
40:14,Bane activated Smoke of Deceit to stealth,smoke,Dire,Bane,"{'left_percent': 88.0, 'top_percent': 11.0}","(901, 112)"
40:50,Alchemist activated Dust of Appearance to reveal,smoke,Radiant,Alchemist,"{'left_percent': 74.0, 'top_percent': 26.0}","(757, 266)"
40:57,Alchemist placed a Observer Ward,placed,Radiant,Alchemist,"{'left_percent': 81.0, 'top_percent': 23.0}","(829, 235)"
